date,name,location,url,cfp,cfp_url,cfp_deadline,fa,fa_url,fa_deadline
2/20/16,Jupyter Day,Chicago,https://www.eventbrite.com/e/jupyterday-chicago-2016-tickets-20001717676,false,,,false,, 
5/06/16,DePy,Chicago,http://mdp.cdm.depaul.edu/DePy2016/default/user/register,false,,,false,, 
5/28/16,PyCon,Portland Oregon,https://us.pycon.org/2016,false,,,true,https://us.pycon.org/2016/assistance/,3/1/2016
